review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,final_category,label_method
cheap and quick,5,2026-08-11 12:13:10,English,Negative,0.9996,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2619372904300689,Driver Behavior & Safety,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Foods are no promotions,5,2026-08-06 10:31:50,English,Negative,0.9984,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.2502305507659912,Delivery Issues,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
please add dark mode,4,2026-07-16 14:46:59,English,Negative,0.9773,NEGATIVE,"privacy, security, data, account safety",0.3263403475284576,Privacy & Security,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
not efficient facility,1,2026-06-27 18:50:46,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4415759444236755,Support & Refunds,low,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
app no work my phone,1,2026-06-13 09:11:32,English,Negative,0.9926,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.5059953331947327,App Bugs,medium,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
verry verry bad app,1,2026-06-03 17:20:23,English,Negative,0.9996,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3551177680492401,App Bugs,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
more help full app,5,2026-05-28 22:40:52,English,Negative,0.8512,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.2548043727874756,App Bugs,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very low charges yes yes,5,2026-04-17 07:47:28,English,Negative,0.989,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.2618216276168823,App Bugs,low,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very poor service 😡,1,2026-04-16 14:10:33,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4481995701789856,Support & Refunds,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
app add pc pickme,5,2026-04-11 14:06:19,English,Negative,0.9325,NEGATIVE,"privacy, security, data, account safety",0.4807344675064087,Privacy & Security,medium,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very bad service,1,2026-03-30 22:09:45,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4698574841022491,Support & Refunds,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Bad service provider,1,2026-03-30 17:58:31,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.633435845375061,Support & Refunds,medium,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
bad app not safe,1,2026-03-30 16:49:02,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4084541797637939,App Bugs,low,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
worst experience,1,2026-03-30 14:05:40,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.2998106777667999,Support & Refunds,low,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
No transparency 👎,1,2026-03-30 14:04:51,English,Negative,0.9995,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4673916399478912,Driver Behavior & Safety,medium,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
verry bad company,1,2026-03-30 13:44:44,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.365374892950058,Driver Behavior & Safety,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
over commission,1,2026-03-26 07:28:47,English,Negative,0.9697,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3321128785610199,Driver Behavior & Safety,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
A robbery organization,1,2026-03-26 06:50:24,English,Negative,0.9914,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.3906835615634918,Pricing & Bidding,low,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
worst app ever i used,1,2026-03-26 06:34:47,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3053978681564331,App Bugs,low,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Account blok wats hapand,5,2026-03-21 21:59:19,English,Negative,0.9918,NEGATIVE,"privacy, security, data, account safety",0.4671270251274109,Privacy & Security,medium,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
worst taxi service,1,2026-03-20 10:04:01,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4674043953418731,Driver Behavior & Safety,medium,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
cheating company,1,2026-03-12 23:36:12,English,Negative,0.9991,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.4657354652881622,Pricing & Bidding,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
"horrible, no vehicles",1,2026-02-03 14:48:12,English,Negative,0.9995,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4197080433368683,Driver Behavior & Safety,low,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
awful. simply awful.,1,2025-12-18 22:15:45,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2810437381267547,Driver Behavior & Safety,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
logging problem,5,2025-12-12 07:54:45,English,Negative,0.999,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3401186168193817,App Bugs,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Very poor Network & apps,1,2025-11-28 03:09:49,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3196653723716736,App Bugs,low,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
I'm using for long time,5,2025-11-23 21:00:25,English,Negative,0.944,NEGATIVE,"privacy, security, data, account safety",0.2734836935997009,Privacy & Security,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Ammata uhkpan tmdia,1,2025-11-03 21:53:37,English,Negative,0.985,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4001123607158661,Driver Behavior & Safety,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
this is very bad app,1,2025-10-24 20:30:56,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.2924466133117676,App Bugs,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Please remove all ads..!,4,2025-10-24 08:56:46,English,Negative,0.9994,NEGATIVE,"privacy, security, data, account safety",0.5141929388046265,Privacy & Security,medium,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
