review_text,rating,date,sentiment,suggested_category,category_confidence,confidence_band,review_length,corrected_category
not bad but not so much good though,3,2025-11-27 01:32:13,Negative,Support & Refunds,0.2119841426610946,low,35,
some zip cars are not maintained well. the interior is so unclean and with bad odour. please look into this.,5,2026-06-26 21:30:27,Negative,App Bugs,0.2138825803995132,low,108,
worst app uber is the best app,1,2026-02-09 19:50:13,Negative,Privacy & Security,0.2156591564416885,low,30,
"in my last few pickme 3wil trips, 3 of them couldn't find the right locations and correct routes without me correcting them. some are entirely worng routes. some are very long routes compared to correct one. ( correct route is route i see in the app when i book the trip) so i had to pay extra 30% - 40% for the trip. please fix this routing issue quickly.",1,2026-05-17 12:04:31,Negative,Support & Refunds,0.2166251242160797,low,356,
"I have been with Pick Me for a very long time, but the Pick Me app has not improved . Directions to locations are without roads. To tell you the truth , improvement is not seen at all. Pick Me is lucky that they don't have proper competition.",3,2026-07-18 19:51:49,Negative,Support & Refunds,0.2224201560020446,low,242,
please introduce a dark theme in this app.its too useful to save battery life and protect our eyes in android 8 high performance devices,4,2026-08-06 19:02:48,Negative,App Bugs,0.2230666726827621,low,136,
There is always an issue with the precise location marking for picking up. Every time I try to mark a specific location and that location shows the driver somewhere else. Very frustrating!,2,2025-12-27 16:00:34,Negative,App Bugs,0.2309664338827133,low,188,
At the rain there are dont have any tuks,1,2025-12-11 09:18:16,Negative,Driver Behavior & Safety,0.2384744733572006,low,40,
can I sell the foods from my home?,2,2025-08-19 12:47:28,Negative,Driver Behavior & Safety,0.240694984793663,low,34,
why it takes ages to order something even if it's not further from my location fix it,1,2025-12-29 15:09:59,Negative,App Bugs,0.24319489300251,low,85,
inefficient to use in an area like colombo Time wasting,3,2026-01-13 08:19:34,Negative,Support & Refunds,0.2442519515752792,low,55,
I came from kaduwela bus stand to near Cinec campus. It estimated 4.6km and showed lkr 398. But when I got there it showed actual distance was 13.48km. Even if I come from the longest route it's 6.1km. why this app showed like this.,1,2026-05-27 09:19:10,Negative,Privacy & Security,0.2468794584274292,low,232,
it's not currently usable,1,2026-02-27 19:29:01,Negative,Support & Refunds,0.2504504323005676,low,25,
This app is a huge scam now. it intentionally selects an absurd longer route and even if you add stops along the way it makes it even more absurd. a 1km journey turns into a 3.5km one and they charge for the 3.5km even if we take the 1km route,1,2026-06-13 13:33:35,Negative,Driver Behavior & Safety,0.2555317282676697,low,243,
don't get this app 😒 hopeless wasting money and time,1,2026-02-14 22:45:32,Negative,App Bugs,0.2561874091625213,low,52,
"The response by your partner outlet to accept and confirm the order is ready took over 30 mins. They have also cheated by including a handling fee after the order is confirmed, which is added to the bill later. No other outlet does so. Keells should make this charge known upfront without hiding it so that customers can decide if they wish to buy from Keells.",3,2025-10-19 14:30:00,Negative,Delivery Issues,0.2564336955547333,low,360,
i think better ower rewews 💥🍄🆔,5,2026-07-03 18:53:45,Negative,Driver Behavior & Safety,0.2582252025604248,low,30,
not interested uber is better than pickme,1,2025-08-06 23:41:34,Negative,Pricing & Bidding,0.2594321072101593,low,41,
frequently need to updates,5,2026-08-08 17:29:52,Negative,Driver Behavior & Safety,0.2626014947891235,low,26,
there are no enough locations,1,2026-07-19 10:25:16,Negative,Support & Refunds,0.266848623752594,low,29,
"I don't understand how this is calculated, because I have to pay one amount when I get home from work in the evening and another amount in the morning. Because the road is narrower in the evening? There's no way the journey will be longer in the morning.",1,2025-09-26 08:46:58,Negative,Privacy & Security,0.2668990194797516,low,254,
Good but searching drives is very slow.,4,2025-08-27 10:00:52,Negative,App Bugs,0.2679755687713623,low,39,
"set naa dannam,customerta okkoma charges gewanna wela dan...",1,2026-03-31 14:28:12,Negative,Pricing & Bidding,0.2683092057704925,low,60,
"godak hodai, ee wunata mage tab eke meka loading wenne nehe",5,2026-01-25 10:18:27,Negative,App Bugs,0.2708962857723236,low,59,
𝑒𝑎𝑠𝑦 𝑡𝑜 ℎ𝑖𝑟𝑒 𝑣𝑒ℎ𝑖𝑐𝑙𝑒 𝑤ℎ𝑒𝑛 𝑤𝑒 𝑎𝑟𝑒 𝑖𝑛 𝑎 𝑒𝑚𝑒𝑟𝑔𝑒𝑛𝑐𝑦 𝑠𝑖𝑡𝑢𝑎𝑡𝑖𝑜𝑛,5,2026-07-25 18:13:24,Negative,App Bugs,0.277791827917099,low,57,
"Dear PickMe Support Team, I am very disappointed with a problem I face regularly when using PickMe. After booking a ride, some drivers ask whether I will pay by card or cash. When I say that I will pay by card, the drivers cancel my booking. This has happened several times and causes a lot of inconvenience. I kindly request you to look into this matter and take necessary action to ensure that drivers accept all available payment methods on the app. Thank you for your attention to this issue.",1,2025-09-15 19:28:32,Negative,App Bugs,0.2781046032905578,low,496,
"worst application, they take too long time for a vehicle, this app is waste of time.",1,2025-11-27 09:43:15,Negative,App Bugs,0.2789749503135681,low,84,
Pickme is charging Rs.100 late night fee. Uber doesn't do that. Time to switch until Pickme removes this. We will pay our tips to the driver for late night deliveries. Not a cent for you guys because you're virtual machines that run your web app doesn't get sleep deprivation.,1,2025-09-19 23:11:43,Negative,Privacy & Security,0.2829118967056274,low,276,
very very bad app pick me,1,2025-12-12 14:08:27,Negative,App Bugs,0.2839053273200989,low,25,
Customer Rides Record and Made Scam by adding high cost when return,1,2026-02-04 22:22:33,Negative,Support & Refunds,0.284532219171524,low,67,
𝗼𝗻 𝘁𝗶𝗺𝗲 𝗮𝗻𝗱 𝗽𝗼𝗹𝗶𝘁𝗲 𝘀𝗲𝗿𝘃𝗶𝗰𝗲,5,2026-03-11 10:03:06,Negative,Pricing & Bidding,0.2853533625602722,low,26,
Can't clear history of travels. We use this to follow husband too.,1,2025-11-24 18:19:23,Negative,Privacy & Security,0.2861708700656891,low,66,
this app very bad because only for one week they get 80 rupees for my very small distance trip. but after one week they asked 200 rupees. this is really not fair. very bad. please don't download this app guys,1,2026-02-07 16:06:45,Negative,Pricing & Bidding,0.2863968014717102,low,208,
mun hithena hithena welawata ganan wadi karanawane..kalin 340 yana aka ada 535 .henama boka app akak..hoda welqata dan hela go thiyenne,1,2026-02-15 12:47:56,Negative,App Bugs,0.2880785167217254,low,135,
Pickme taxi drivers are super...but pickme food drivers are very slowly,3,2026-02-06 13:22:51,Negative,Delivery Issues,0.2903559803962707,low,71,
Not good. Not bad. But service is very ugly,1,2026-06-28 10:02:36,Negative,Support & Refunds,0.2949058413505554,low,43,
magaginuma aktiya kara atha,5,2026-03-18 11:57:20,Negative,Driver Behavior & Safety,0.2965083420276642,low,27,
do not download this stupid app 😡,1,2025-11-07 08:44:38,Negative,Driver Behavior & Safety,0.2968630790710449,low,33,
I never received this order.when I went to pickup I was told a pick me rider collected it.very disappointed.shall not use card payment method again with you.,1,2026-07-28 00:37:59,Negative,Delivery Issues,0.3005979359149933,low,157,
very bad app. don't deliver on time. very bad customer service.,1,2025-10-25 10:05:21,Negative,Delivery Issues,0.3006676435470581,low,63,
absolutely the worst service ever.uber better than this,1,2026-04-18 01:00:07,Negative,Driver Behavior & Safety,0.3029986917972564,low,55,
The limit of 1000 for ordering from the market by cash is too little and it doesn't accept my debit card for some weird reason. I cannot order anything above 1000 because of this. it's very inconvenient.,2,2026-02-16 19:20:41,Negative,Privacy & Security,0.3030219674110412,low,203,
Pick me is real failing to meet its customers' needs. You can't get a ride even if someone is dying. Really disappointing. I won't recommend pick me to anyone. I wouldn't give it any stars if it is possible.,1,2025-10-17 18:08:13,Negative,Driver Behavior & Safety,0.3037965893745422,low,207,
Meya minissunta baninawa. ktha kranna dan ne.,1,2025-10-10 13:19:05,Negative,Driver Behavior & Safety,0.3056998252868652,low,45,
Some times the riders are taking more from the clients,5,2026-06-13 17:24:36,Negative,Pricing & Bidding,0.3065677881240845,low,54,
App eka hodai habai mehemai hadissiykt yanna plane ekakui ganwathurata yanna bottuwakui thibba nm maru salli thibbata karanna deyak na apita meke ehema una nm taru 5m denawa,4,2026-07-14 14:25:02,Negative,App Bugs,0.3077899813652038,low,173,
WHERE IS THE DARK MODE IN THIS APP MY EYES ARE LOSE 30% OF ITS LIFE SPAN JUST BY USING THE APP,2,2025-12-20 21:15:40,Negative,App Bugs,0.3092066049575805,low,94,
no tuks. despite being a platinum user i cant get a tuk at all. useless waste of space on my phone,1,2025-09-27 19:06:57,Negative,Support & Refunds,0.3093469142913818,low,98,
poor vehicle availability,2,2025-08-07 18:39:10,Negative,Driver Behavior & Safety,0.3108955919742584,low,25,
i have use this app regularly. however now the app doesn't even open. it is not supportive to my phone now.,3,2026-02-19 22:59:43,Negative,App Bugs,0.3125878870487213,low,107,
Paid Rs. 549 for the pickme pass subscription. This damn app is still charging delivery fees even after purchasing the pickme Pass. Pathetic. Pickme is loosing customer's trust.,1,2025-08-26 13:04:12,Negative,Support & Refunds,0.3128282129764557,low,177,
"Very hard to get any vehicle at times, even during non peak hours. Uber is way better and easier. Some nonsense new bidding system for drivers to keep asking for more money ruins this app even more. The self pick up (pickme food) section needs major fixes. Deleting this app. Absolutely no use to me anymore.",2,2025-10-13 12:06:52,Negative,Driver Behavior & Safety,0.3140155971050262,low,308,
useless update. Just a copy of the Uber driver app. There's no point in being so struck.,1,2025-11-25 19:54:54,Negative,Support & Refunds,0.314352810382843,low,88,
"rain time cannot find any PickMe drivers, they don't pick up PickMe rides and do private rides for overpriced fare",1,2025-12-05 17:32:56,Negative,Driver Behavior & Safety,0.3157495260238647,low,114,
Most of the time Vecles reached in schedule time but certain incidents expearienced negative Didnt reach at Scheduled time.,4,2026-04-15 06:34:57,Negative,Driver Behavior & Safety,0.3185190260410309,low,123,
very unstable 😕 😐 😑 it can't place my oder right,1,2026-07-12 21:48:38,Negative,Driver Behavior & Safety,0.3195936679840088,low,48,
the loyalty programme is totally fake,1,2025-09-26 13:57:02,Negative,Support & Refunds,0.3214365839958191,low,37,
I paid Rs 100 for the rider but again 100 deducted from my bank account why,1,2025-12-02 14:00:42,Negative,App Bugs,0.3216440379619598,low,75,
this stupid app allows drivers to do whatever they want. they don't accept when the rate is low. don't use this app,1,2025-10-31 07:23:57,Negative,Driver Behavior & Safety,0.3223862946033478,low,115,
Didn't work for me. Couldn't even open the damn app and it's constantly loading and nothing else. Completely useless.,1,2025-10-30 00:43:24,Negative,Support & Refunds,0.3247268199920654,low,117,
can't get my email adjusted,1,2026-01-08 18:45:26,Negative,Privacy & Security,0.3284907341003418,low,27,
most times have to wait so long time to get vehicle. time waste. 😑,1,2025-08-19 08:54:16,Negative,Driver Behavior & Safety,0.329475075006485,low,66,
worst app dont download this app,1,2025-10-10 21:26:13,Negative,App Bugs,0.3302091956138611,low,32,
me app eka Hoday eth Meka Jara app ekak karanne wada karana minissu hoyala balala e wage minissu Ayn kala nam hoday,1,2025-10-19 06:58:12,Negative,Privacy & Security,0.3340402245521545,low,115,
vehicals are not taking on time. have to seek too much time.,1,2025-08-04 11:52:58,Negative,Driver Behavior & Safety,0.3344839811325073,low,60,
"I have a oppo a5s and I gave like android 8 ,but the app doesn't work for me",1,2026-05-21 16:56:47,Negative,App Bugs,0.3346034586429596,low,76,
"i've used pickme for years, but the new version doesnt work work on my phone. Im wondering why there isnt backward-compatible version for older phones.",1,2026-01-09 10:53:35,Negative,Privacy & Security,0.3352997004985809,low,151,
simply waste this app I'm gonna uninstall it,1,2025-08-17 17:43:16,Negative,Driver Behavior & Safety,0.335918664932251,low,44,
ko meke bike hayer genna ganne kohamada,5,2025-08-08 09:40:10,Negative,Driver Behavior & Safety,0.3384608924388885,low,39,
this app is not open in my phone why?what's the issue.my phone is vivo y93 please check this issue,1,2026-07-02 15:41:31,Negative,App Bugs,0.339452862739563,low,98,
welawakata app eaka mara slow,5,2026-03-12 20:22:56,Negative,App Bugs,0.3400430679321289,low,29,
he started the trip before picking me from Armer street.,1,2025-08-19 05:04:55,Negative,Driver Behavior & Safety,0.3408568203449249,low,56,
Too bad. It has been more than an hour. but no one is assigned to pick the parcel to deliver. The hotline is busy.,1,2026-05-28 13:34:50,Negative,Support & Refunds,0.3415090143680572,low,114,
anytime the rider cancel bad app,1,2026-05-26 07:11:32,Negative,App Bugs,0.3440488576889038,low,32,
Hello Sir! Can't add our number please fix this issue,2,2026-04-18 16:17:27,Negative,Privacy & Security,0.3446120023727417,low,53,
"I am disappointed with how my account was handled. Sometimes rides get canceled because I accept requests from both Uber and PickMe, and I keep the one that arrives first. I understand that frequent cancellations are not ideal, but permanently blocking an account for this seems too harsh. Why is a permanent block used instead of a warning, temporary suspension, or another fair solution? I would appreciate it if you could review the account and consider a more reasonable resolution. Thank you.",2,2026-06-25 11:30:25,Negative,Support & Refunds,0.3465991020202636,low,497,
There's a mistake I'm a gentleman and why are you sending msgs as' Upali nona',5,2026-01-01 21:08:18,Negative,Privacy & Security,0.3469728529453277,low,78,
stupid freaking app to disconnect customer after few months.,1,2025-08-28 07:50:35,Negative,Support & Refunds,0.3481844663619995,low,60,
Rare seat is uncomfotable.,4,2026-06-06 15:36:27,Negative,Driver Behavior & Safety,0.34893798828125,low,26,
learn something from uber. i hate this app,1,2025-12-05 13:25:34,Negative,App Bugs,0.349049299955368,low,42,
the worst app to travel. i faced a worst experience through this. i have waited more than 1hour. nobody accept my ride if i can banned something I'll definitely do to this,1,2025-12-12 19:56:45,Negative,Driver Behavior & Safety,0.3494566679000854,low,171,
Riddled with multiple bugs and QC issues. The fact that drivers can call you after the hire or after cancellation is unacceptable. The Map is horrible and often doesn't show where the driver is.,2,2026-01-03 11:39:04,Negative,Support & Refunds,0.3524821400642395,low,194,
this app banned me for no reson,1,2026-06-01 14:03:36,Negative,Driver Behavior & Safety,0.3531208336353302,low,31,
Very bad my user were block permanently I even didn't do anything. I use this app more than 4+ years.,1,2026-02-25 19:32:55,Negative,Privacy & Security,0.3539172708988189,low,101,
When will the temporary fuel surcharge be removed?,4,2026-07-22 18:08:05,Negative,Driver Behavior & Safety,0.3544995486736297,low,50,
one of the wrost taxi hailing app in sri lanka . anyone don't use this app.,1,2026-03-30 14:14:17,Negative,Privacy & Security,0.3555505275726318,low,75,
