review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,final_category,label_method
"these guys are terrible, they dont take any responsibility. customer service ignores you and closes tickets. absolute worst customer service.",1,2026-08-12 08:42:56,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5823379755020142,Driver Behavior & Safety,medium,141,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
this happened to me multiple times where i order food and it takes hours for a rider to get assigned. there should be an option to cancel the order after a certain time limit because we have other things to do than waiting for 2h for food. the numbers for restaurants in the app dont work half the time too. the hot line is useless most of the time,1,2026-08-11 17:58:43,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5373790264129639,Support & Refunds,medium,348,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
this app is a not trust that is laying 50% discunt frist ride. not it offer working,1,2026-08-11 17:12:48,English,Negative,0.9994,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4194739460945129,Driver Behavior & Safety,low,83,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
"The new “Bid” feature has made PickMe extremely frustrating. Bidding gets activated automatically, and drivers take a long time to accept rides because they wait for higher offers. Many drivers then ask for an extra Rs.100 or more for a trip. This makes booking slow, stressful, and unpredictable. PickMe should give passengers the option to disable bidding and keep a fixed-fare system. The app was much more convenient before this feature.",1,2026-08-11 15:28:32,English,Negative,0.9963,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.7315916419029236,Pricing & Bidding,high,441,zero-shot-bart-large-mnli,Pricing & Bidding,auto_high_confidence
cheap and quick,5,2026-08-11 12:13:10,English,Negative,0.9996,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2619372904300689,Driver Behavior & Safety,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
"after taking 4 hours, they cancelled my food order reason- drivers are available to pick up that order 🤣",1,2026-08-09 23:16:05,English,Negative,0.9939,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4342761933803558,Support & Refunds,low,104,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"Drivers pick rides when they on another, we have to wait until they finish that trip and come to pick up. Please update the app such that the drivers wouldn't be able to pick rides while they on a trip",5,2026-08-09 15:52:47,English,Negative,0.9973,NEGATIVE,"privacy, security, data, account safety",0.3995697200298309,Privacy & Security,low,201,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"without any reason they permanently blocked me , also not provide any contact numbers to contact office. kindly mention here your customer care numbers",1,2026-08-09 07:17:26,English,Negative,0.9976,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.6191598176956177,Support & Refunds,medium,151,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
frequently need to updates,5,2026-08-08 17:29:52,English,Negative,0.9551,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2626014947891235,Driver Behavior & Safety,low,26,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
please introduce a dark theme in this app.its too useful to save battery life and protect our eyes in android 8 high performance devices,4,2026-08-06 19:02:48,English,Negative,0.9986,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.2230666726827621,App Bugs,low,136,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
Foods are no promotions,5,2026-08-06 10:31:50,English,Negative,0.9984,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.2502305507659912,Delivery Issues,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
