review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,label,label_method
It is so safe 🤍,5,2026-08-13 20:39:00,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6205653548240662,Driver Service,medium,15,zero-shot-bart-large-mnli,Driver Service,keyword_rule
this pick me app is so amazing.very help full.sometimes very cheap. but some times very expensive.🤔🤔🤔,5,2026-08-13 17:54:56,English,Positive,0.8339,POSITIVE,"helpful customer support, quick refund, good service",0.4003092646598816,Good Support,low,101,zero-shot-bart-large-mnli,App Experience,keyword_rule
"helfpul,kindness will have to all pickme drivers",5,2026-08-12 18:23:55,English,Positive,0.9963,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7223057150840759,Driver Service,high,48,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
this app very helpful,4,2026-08-12 09:44:07,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6287182569503784,App Experience,medium,21,zero-shot-bart-large-mnli,App Experience,keyword_rule
Best pick app♥️,5,2026-08-11 11:21:55,English,Positive,0.997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4206981658935547,App Experience,low,15,zero-shot-bart-large-mnli,App Experience,keyword_rule
it's a user-friendly app however it may required timely information gets updated automatically. The app gets updated without delay,5,2026-08-09 08:34:52,English,Positive,0.9859,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8481177687644958,App Experience,high,130,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
it's good service,5,2026-08-05 17:12:33,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4374452829360962,Driver Service,low,17,zero-shot-bart-large-mnli,Good Support,keyword_rule
good most of the times driver says no change,3,2026-08-05 12:55:30,English,Positive,0.9994,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.690496563911438,Driver Service,high,44,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
great app and the drivers are amazing and friendly and doing such a great and valuable job for the money we spent 💝,5,2026-08-01 14:43:12,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7233719825744629,Driver Service,high,115,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
it is very good app fo transport,5,2026-07-31 20:18:20,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5140360593795776,App Experience,medium,32,zero-shot-bart-large-mnli,App Experience,keyword_rule
best useful app,5,2026-07-26 16:10:27,English,Positive,0.9991,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6968019604682922,App Experience,high,15,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Great app easy to use as foriegner.,5,2026-07-25 11:32:41,English,Positive,0.9987,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.488041877746582,App Experience,medium,35,zero-shot-bart-large-mnli,App Experience,keyword_rule
Overall good service but certain times difficult to find vehicles specially from Kelaniya area .Kindly improve the later option further.,4,2026-07-23 15:00:28,English,Positive,0.9931,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6595733761787415,Driver Service,high,136,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"HelaGo and Uber are better than PickMe. Their rates are fair, and they don't have hidden fees like PickMe. I'm disappointed with PickMe's service and wouldn't recommend it.",1,2026-07-19 16:52:50,English,Positive,0.979,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.7045954465866089,Fair Pricing,high,172,zero-shot-bart-large-mnli,Fair Pricing,auto_high_confidence
Trusted service,2,2026-07-16 08:19:18,English,Positive,0.9966,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4391864836215973,Driver Service,low,15,zero-shot-bart-large-mnli,Good Support,keyword_rule
