review_text,rating,date,sentiment,final_category,category_confidence,confidence_band
"helfpul,kindness will have to all pickme drivers",5,2026-08-12 18:23:55,Positive,Driver Service,0.7223057150840759,high
it's a user-friendly app however it may required timely information gets updated automatically. The app gets updated without delay,5,2026-08-09 08:34:52,Positive,App Experience,0.8481177687644958,high
good most of the times driver says no change,3,2026-08-05 12:55:30,Positive,Driver Service,0.690496563911438,high
great app and the drivers are amazing and friendly and doing such a great and valuable job for the money we spent 💝,5,2026-08-01 14:43:12,Positive,Driver Service,0.7233719825744629,high
best useful app,5,2026-07-26 16:10:27,Positive,App Experience,0.6968019604682922,high
Overall good service but certain times difficult to find vehicles specially from Kelaniya area .Kindly improve the later option further.,4,2026-07-23 15:00:28,Positive,Driver Service,0.6595733761787415,high
"HelaGo and Uber are better than PickMe. Their rates are fair, and they don't have hidden fees like PickMe. I'm disappointed with PickMe's service and wouldn't recommend it.",1,2026-07-19 16:52:50,Positive,Fair Pricing,0.7045954465866089,high
I love this app,5,2026-07-02 20:19:05,Positive,App Experience,0.6515266299247742,high
"App is good, very useful. Only issue is the riders are crying for cash payments. But the main use of these type of apps are hassel free access with new technology. As per the riders you guys have different commission methods for cash and card payments. With evolution of technology you should be more focus on encouraging paperless method. Means you should give some benefit to riders when using card payments. Because payment directly crediting to your account. Hope you will look in to this sooner",4,2026-06-02 12:41:09,Positive,App Experience,0.9149242043495178,high
thank you for a comfortable travel,5,2026-05-10 14:50:02,Positive,Driver Service,0.673474907875061,high
this app is very nice app. this app is very use full,5,2026-05-01 10:18:49,Positive,App Experience,0.8472558259963989,high
Courteous and well mannered .,5,2026-04-29 17:12:30,Positive,Driver Service,0.7156457901000977,high
"on time, Safe driving ability, Friendly",5,2026-04-26 17:43:06,Positive,Driver Service,0.8313314914703369,high
Very useful app for me and easy use. i love it,5,2026-04-26 12:30:43,Positive,App Experience,0.79017174243927,high
Very polite and professional driver.Clean and comfortable car,5,2026-04-25 07:00:43,Positive,Driver Service,0.9083247184753418,high
easy to order foods and ride. and their timing is absolutely good 👍,5,2026-04-22 18:08:09,Positive,App Experience,0.6986375451087952,high
