review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,final_category,label_method
well transportation,5,2026-08-13 11:51:06,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5442371964454651,Driver Service,medium,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
It is very good,5,2026-08-11 11:47:32,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.343940794467926,App Experience,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
help to easy travel,5,2026-08-07 15:54:34,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4153047204017639,Driver Service,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Very comfortable,5,2026-08-03 19:46:39,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4695785939693451,App Experience,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
excellent very good appl,5,2026-08-01 21:05:36,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3925196826457977,App Experience,low,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
it comfortable to me,1,2026-07-23 22:05:33,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.479750394821167,App Experience,medium,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
HAPPY RECOMMENDED ....👌👌,5,2026-07-05 20:55:47,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3840358555316925,Driver Service,low,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
PAYEMENT HIGH RATED,1,2026-07-02 17:51:35,English,Positive,0.9977,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.315166562795639,App Experience,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
food Safe travels,5,2026-06-28 13:21:28,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5661792755126953,Driver Service,medium,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
this gut helped,5,2026-06-28 10:31:08,English,Positive,0.984,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3139459490776062,App Experience,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
