review_text,rating,date,sentiment,suggested_category,category_confidence,confidence_band,review_length,corrected_category
"driver always tells us different price, always higher",3,2/7/2026 22:33,Positive,Fair Pricing,0.234510362,low,53,Exclude
bring the downloadable receipt option,4,7/24/2026 17:39,Positive,Fair Pricing,0.245346561,low,37,Exclude
Day by day I can increase my income through pick me .,5,6/7/2026 16:36,Positive,Fair Pricing,0.254187763,low,53,Fair Pricing
If you can't fix your drivers' attitude there's no future for this service. already uninstalled and happily stopped using. I will make sure to share my experiences with people around me.,1,6/7/2026 0:10,Positive,Driver Service,0.257733524,low,186,Exclude
"East or West, Uber is the best. Pick me expensive",1,10/17/2025 17:52,Positive,App Experience,0.258355081,low,49,Exclude
The best service for my urgent transportation needs. I would rate more than five if I could.,5,8/30/2025 15:56,Positive,App Experience,0.285683066,low,92,Fast Delivery
it is so useful in emergency,5,1/4/2026 19:29,Positive,Good Support,0.29468742,low,28,Fast Delivery
the best way of getting to placed,5,11/8/2025 9:10,Positive,Driver Service,0.301822513,low,33,App Experience
good for short range visit,5,8/9/2025 4:14,Positive,App Experience,0.30356738,low,26,Fair Pricing
pick me is the best platform to book a ride in srilanka,5,1/26/2026 12:25,Positive,App Experience,0.308877885,low,55,App Experience
now the services is quite good,5,5/16/2026 10:37,Positive,App Experience,0.312790632,low,30,Exclude
wow i like to travel with pick me,5,5/19/2026 2:39,Positive,Driver Service,0.31672287,low,33,Exclude
srilankan favorite travel partner,5,4/1/2026 3:25,Positive,Driver Service,0.319912255,low,33,Exclude
I'm very happy with pickme. thank you.,4,11/10/2025 10:34,Positive,Driver Service,0.328093529,low,38,Exclude
Good service reasonable charges and quick service,5,7/19/2026 5:31,Positive,Fair Pricing,0.343672246,low,49,Fast Delivery
Good service and reasonable charges,5,12/7/2025 15:10,Positive,Fair Pricing,0.352752,low,35,Fair Pricing
fully satisfied with the journey,5,9/29/2025 9:47,Positive,App Experience,0.353545815,low,32,Exclude
tnx u so much fantastic this apps country platform marketing this apps congratulations,5,4/17/2026 2:48,Positive,App Experience,0.357001215,low,86,App Experience
super .....wow......fantastic,5,11/18/2025 18:04,Positive,App Experience,0.3637923,low,29,Exclude
It is good apps for sri lankan people meter vehicles are not profit,5,11/26/2025 18:08,Positive,App Experience,0.365274817,low,67,App Experience
Thank you for your generosity ❤️,5,12/3/2025 1:50,Positive,Fair Pricing,0.367611974,low,32,Exclude
Excellent. Very good Coordinator. thanks.,5,1/23/2026 11:56,Positive,App Experience,0.371322542,low,41,Driver Service
good more than road vehicles,5,11/13/2025 8:53,Positive,Driver Service,0.37555033,low,28,Exclude
"Good.,But Few Problems (account resetting )",4,3/26/2026 14:01,Positive,App Experience,0.380739659,low,43,Exclude
"super, i always used my traveling partner 🥰",5,8/11/2026 22:16,Positive,Driver Service,0.382085502,low,43,Exclude
easy to use. Very helpful.rates are reasonable.,5,10/12/2025 9:25,Positive,Fair Pricing,0.390435278,low,47,App Experience
"Dear Team, I am writing to share a suggestion regarding your application's user experience. ""I request you to enhance the application in the future by incorporating Accessibility features, such as Screen Reader support, to ensure it is easily usable by visually impaired individuals. This will make the application a truly inclusive platform for everyone."" Implementing these features would greatly assist users who rely on assi",5,2/4/2026 19:04,Positive,Driver Service,0.394585699,low,428,Exclude
so super excited good 👍👍👍👍👍👍,5,3/2/2026 0:22,Positive,App Experience,0.395129621,low,28,Exclude
no any complains yet but satisfied.,5,9/6/2025 0:06,Positive,Driver Service,0.409953088,low,35,Exclude
Friendly & excellent service,5,6/27/2026 17:05,Positive,Driver Service,0.413516372,low,28,Driver Service
"I feel safe, and the service is fast.💙",5,8/8/2026 13:24,Positive,Driver Service,0.415137649,low,38,Trust & Security
"In my last trip my fare was 170/=, but the driver charged me 270/=. This should be considered critically.",1,9/19/2025 14:57,Positive,Trust & Security,0.417503983,low,105,Exclude
If you can add Diesel Three wheeler option It will be really helpful,4,1/17/2026 12:07,Positive,Driver Service,0.421580613,low,68,Exclude
Everything perfect 👌 recommend for everyone 👍🏻,5,4/2/2026 15:56,Positive,App Experience,0.424752831,low,46,Exclude
this is amegerncy service and I like this app,1,12/25/2025 20:55,Positive,Driver Service,0.434783041,low,45,Fast Delivery
the great app ever because of the service and the support teams response immediately to resolve the issue after discussing with both side. Sri Lanka best ride and transportation,5,4/30/2026 17:05,Positive,Good Support,0.448976755,low,177,Good Support
good experience.alwys helpful,2,4/5/2026 10:31,Positive,Driver Service,0.453036755,medium,29,Good Support
