review_text,rating,date,sentiment,suggested_category,category_confidence,confidence_band,corrected_category
price increased surge+charge every time 👎,1,2025-10-24 20:51:00,Positive,Fair Pricing,0.21899688243865967,low,
"driver always tells us different price, always higher",3,2026-02-07 22:33:49,Positive,Fair Pricing,0.2345103621482849,low,
bring the downloadable receipt option,4,2026-07-24 17:39:41,Positive,Fair Pricing,0.2453465610742569,low,
brilliant service 🔝,5,2026-06-21 20:34:15,Positive,App Experience,0.24994239211082458,low,
Care full cheating app helago is better than pickme,1,2026-03-26 03:52:07,Positive,Driver Service,0.25118488073349,low,
Day by day I can increase my income through pick me .,5,2026-06-07 16:36:18,Positive,Fair Pricing,0.25418776273727417,low,
thank you so much,5,2026-06-23 21:50:57,Positive,Driver Service,0.2549259662628174,low,
If you can't fix your drivers' attitude there's no future for this service. already uninstalled and happily stopped using. I will make sure to share my experiences with people around me.,1,2026-06-07 00:10:47,Positive,Driver Service,0.2577335238456726,low,
"East or West, Uber is the best. Pick me expensive",1,2025-10-17 17:52:35,Positive,App Experience,0.2583550810813904,low,
The best service for my urgent transportation needs. I would rate more than five if I could.,5,2025-08-30 15:56:34,Positive,App Experience,0.2856830656528473,low,
vehicle not coming poor price called,1,2025-10-06 12:56:42,Positive,Fair Pricing,0.2868351340293884,low,
"PickMe drivers rarely accept rides. Even when they do, they often cancel halfway through. This happens to me every single time. In my experience, Uber drivers are much more reliable than PickMe drivers.",1,2026-05-27 18:11:54,Positive,Driver Service,0.28990232944488525,low,
it is so useful in emergency,5,2026-01-04 19:29:35,Positive,Good Support,0.294687420129776,low,
Thank you so good,5,2025-08-24 08:55:52,Positive,Driver Service,0.3002287745475769,low,
the best way of getting to placed,5,2025-11-08 09:10:04,Positive,Driver Service,0.3018225133419037,low,
good for short range visit,5,2025-08-09 04:14:52,Positive,App Experience,0.30356737971305847,low,
pick me is the best platform to book a ride in srilanka,5,2026-01-26 12:25:07,Positive,App Experience,0.3088778853416443,low,
"Hi, PickMe is a good app unless meeting bad behaviour drivers, by the way, most drivers are good. One of of them is bad. Anyone can use without fear to get in taxi.",5,2025-10-25 19:56:33,Positive,App Experience,0.3122541010379791,low,
now the services is quite good,5,2026-05-16 10:37:10,Positive,App Experience,0.3127906322479248,low,
they are coming fast,5,2025-08-23 15:01:37,Positive,Fast Delivery,0.3131311535835266,low,
this gut helped,5,2026-06-28 10:31:08,Positive,App Experience,0.3139459490776062,low,
pick me is the no 1 app in srilanka for riding and food deliver,5,2025-09-20 08:46:13,Positive,App Experience,0.3140069842338562,low,
PAYEMENT HIGH RATED,1,2026-07-02 17:51:35,Positive,App Experience,0.31516656279563904,low,
wow i like to travel with pick me,5,2026-05-19 02:39:35,Positive,Driver Service,0.3167228698730469,low,
this is the very important app,5,2026-01-23 17:33:50,Positive,Driver Service,0.3197624087333679,low,
srilankan favorite travel partner,5,2026-04-01 03:25:26,Positive,Driver Service,0.31991225481033325,low,
Good app. I found it to consistently underestimate the cost of each trip.,4,2026-03-15 05:24:33,Positive,Fair Pricing,0.326440691947937,low,
very good services,5,2026-03-11 07:48:27,Positive,App Experience,0.32690978050231934,low,
I'm very happy with pickme. thank you.,4,2025-11-10 10:34:03,Positive,Driver Service,0.3280935287475586,low,
easy to transport,5,2026-03-19 11:21:58,Positive,App Experience,0.3283849358558655,low,
take care of ordering food.,1,2025-09-30 02:04:26,Positive,App Experience,0.32843998074531555,low,
thank you for the info,5,2025-08-01 22:38:04,Positive,Fair Pricing,0.3287363052368164,low,
prompt action taken,5,2026-03-01 13:50:10,Positive,App Experience,0.3315393328666687,low,
Best for everyone 🫶,5,2025-11-07 21:21:30,Positive,App Experience,0.33341625332832336,low,
Best Service 😎👍,5,2026-01-21 00:36:18,Positive,Driver Service,0.3334648311138153,low,
It used to be great. not anymore.,1,2025-11-11 11:28:38,Positive,Driver Service,0.33648255467414856,low,
love you pick me.,5,2026-02-06 14:19:57,Positive,Driver Service,0.33711469173431396,low,
"well, to catch a ride sure not bad. I recommend the verification method tho. the food delivery though, takes ages for them to get a delivery person so no food deliveries.",3,2026-05-26 18:38:28,Positive,Driver Service,0.34211093187332153,low,
eizy traveling 24 hours service,1,2026-06-29 17:39:49,Positive,Good Support,0.3430282175540924,low,
Good service reasonable charges and quick service,5,2026-07-19 05:31:19,Positive,Fair Pricing,0.3436722457408905,low,
It is very good,5,2026-08-11 11:47:32,Positive,App Experience,0.343940794467926,low,
Reliable Service,5,2026-03-31 11:36:10,Positive,Driver Service,0.3457508385181427,low,
"Late-night orders don't get picked up I've twice ordered past midnight this week. Both times the restaurant marked the food ""ready,"" I waited ~60 minutes, and no rider ever picked it up. You also can't cancel in-app. you have to call the hotline. After years with PickMe, this month has been very disappointing. Uber Eats has been faster, with a wider range and reliable 3 AM delivery.",1,2025-11-13 01:21:49,Positive,Trust & Security,0.3465385138988495,low,
very good option,5,2026-02-22 15:07:23,Positive,App Experience,0.3473758399486542,low,
Good service and reasonable charges,5,2025-12-07 15:10:49,Positive,Fair Pricing,0.3527520000934601,low,
fully satisfied with the journey,5,2025-09-29 09:47:30,Positive,App Experience,0.35354581475257874,low,
A best service. Thank you very much for it.,5,2026-06-19 10:09:13,Positive,Driver Service,0.3542620837688446,low,
it is really helpful but the delivery charge is high otherwise no amy problems.highly recomended!!,5,2025-11-08 16:42:25,Positive,Good Support,0.35468876361846924,low,
tnx u so much fantastic this apps country platform marketing this apps congratulations,5,2026-04-17 02:48:02,Positive,App Experience,0.3570012152194977,low,
best driving app in 🇱🇰,5,2025-09-13 11:58:38,Positive,Driver Service,0.3571101725101471,low,
i like pick me ❤️,5,2026-06-27 08:22:57,Positive,Driver Service,0.35951465368270874,low,
fast delivery and quality rides.💯👌,5,2026-06-27 20:56:59,Positive,Driver Service,0.361250102519989,low,
super .....wow......fantastic,5,2025-11-18 18:04:10,Positive,App Experience,0.3637923002243042,low,
valuable for me,5,2026-02-08 08:49:13,Positive,App Experience,0.3646746575832367,low,
It is good apps for sri lankan people meter vehicles are not profit,5,2025-11-26 18:08:58,Positive,App Experience,0.3652748167514801,low,
good morning day,4,2026-05-29 12:20:26,Positive,Driver Service,0.365629106760025,low,
Thank you for your generosity ❤️,5,2025-12-03 01:50:10,Positive,Fair Pricing,0.36761197447776794,low,
Great!! On time to the movie..😀,5,2025-09-20 15:33:17,Positive,Driver Service,0.3680254817008972,low,
Excellent. Very good Coordinator. thanks.,5,2026-01-23 11:56:04,Positive,App Experience,0.37132254242897034,low,
Good service and excellent customer service 👍 thanks,5,2026-04-21 00:43:43,Positive,Driver Service,0.3719552457332611,low,
Amazing customer service. Highly recommend.,5,2025-10-14 02:43:07,Positive,Driver Service,0.3744453191757202,low,
good more than road vehicles,5,2025-11-13 08:53:46,Positive,Driver Service,0.3755503296852112,low,
best for my works,5,2026-03-14 11:35:46,Positive,Driver Service,0.3774079978466034,low,
Good experience,5,2026-01-21 18:08:50,Positive,App Experience,0.3780747950077057,low,
it's very interesting,5,2026-02-22 16:31:17,Positive,Fair Pricing,0.3803052604198456,low,
Excellent Actual price is far above the estimated value.,3,2026-01-02 15:33:18,Positive,App Experience,0.38067299127578735,low,
"Good.,But Few Problems (account resetting )",4,2026-03-26 14:01:02,Positive,App Experience,0.38073965907096863,low,
"super, i always used my traveling partner 🥰",5,2026-08-11 22:16:35,Positive,Driver Service,0.38208550214767456,low,
vari good is oik me,5,2026-06-03 18:27:25,Positive,Driver Service,0.38213416934013367,low,
HAPPY RECOMMENDED ....👌👌,5,2026-07-05 20:55:47,Positive,Driver Service,0.3840358555316925,low,
driver charged more than mentioned.,1,2026-01-22 14:28:06,Positive,Trust & Security,0.3848138749599457,low,
better than average,4,2026-01-07 23:42:06,Positive,Driver Service,0.38889753818511963,low,
very convenient and reliable 👏,5,2026-03-24 15:12:02,Positive,App Experience,0.3891182839870453,low,
it is very important app,5,2025-12-10 13:51:33,Positive,Driver Service,0.3895646035671234,low,
very important app,5,2026-07-02 21:42:05,Positive,Driver Service,0.38983869552612305,low,
easy to use. Very helpful.rates are reasonable.,5,2025-10-12 09:25:29,Positive,Fair Pricing,0.39043527841567993,low,
great service they provide for customers.,5,2025-11-19 19:04:14,Positive,Driver Service,0.39158737659454346,low,
excellent very good appl,5,2026-08-01 21:05:36,Positive,App Experience,0.39251968264579773,low,
something very good,5,2025-08-15 13:58:04,Positive,App Experience,0.3932885229587555,low,
"Dear Team, I am writing to share a suggestion regarding your application's user experience. ""I request you to enhance the application in the future by incorporating Accessibility features, such as Screen Reader support, to ensure it is easily usable by visually impaired individuals. This will make the application a truly inclusive platform for everyone."" Implementing these features would greatly assist users who rely on assi",5,2026-02-04 19:04:42,Positive,Driver Service,0.3945856988430023,low,
so super excited good 👍👍👍👍👍👍,5,2026-03-02 00:22:40,Positive,App Experience,0.39512962102890015,low,
good experience,5,2025-11-07 10:01:50,Positive,App Experience,0.3976265490055084,low,
veryy use full app i like,5,2025-08-27 13:03:59,Positive,App Experience,0.3999243378639221,low,
this pick me app is so amazing.very help full.sometimes very cheap. but some times very expensive.🤔🤔🤔,5,2026-08-13 17:54:56,Positive,Good Support,0.4003092646598816,low,
"My heartfelt gratitude to Atastha for providing a comfortable and convenient journey at a very reasonable price❤️‍🔥🫂 There is now big news that some three-wheeler owners in Sri Lanka who are making money unfairly are protesting😅💔 The public is already giving you the strength to continue this service you are doing without giving up on anything. Don't be afraid of anything, we are always with you",5,2025-12-30 01:27:28,Positive,Fair Pricing,0.40295445919036865,low,
wery good service. l ❤️ PickMe,4,2026-04-05 07:11:10,Positive,Driver Service,0.40659084916114807,low,
good to see in Galle,4,2026-02-08 23:28:12,Positive,Driver Service,0.40855562686920166,low,
this is really helpful . i am from srilanka ... srilanka from matara why this app not available in my country.,5,2026-02-28 07:15:48,Positive,App Experience,0.4095647931098938,low,
no any complains yet but satisfied.,5,2025-09-06 00:06:27,Positive,Driver Service,0.4099530875682831,low,
highly recommended,5,2026-04-28 12:45:29,Positive,App Experience,0.4111136794090271,low,
Good . but some of the drivers dnt know how to talk.,4,2025-09-08 18:51:25,Positive,Driver Service,0.41159480810165405,low,
one of good service in sri lanka,5,2026-07-15 09:56:07,Positive,Driver Service,0.41221165657043457,low,
"PickMe rates are the best because they are affordable, transparent, and fair for customers. The pricing is clearly shown before booking, so there are no hidden charges. Compared to other services, PickMe offers good value for money with reliable drivers and quick service. This makes it a convenient and budget-friendly choice for daily travel.",5,2026-01-11 08:46:21,Positive,Driver Service,0.41242650151252747,low,
Best riding app in Sri Lanka 🇱🇰,5,2025-11-13 02:00:19,Positive,App Experience,0.41278326511383057,low,
Friendly & excellent service,5,2026-06-27 17:05:52,Positive,Driver Service,0.4135163724422455,low,
