review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source
It is so safe 🤍,5,2026-08-13 20:39:00,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6205653548240662,Driver Service,medium,15,zero-shot-bart-large-mnli
this pick me app is so amazing.very help full.sometimes very cheap. but some times very expensive.🤔🤔🤔,5,2026-08-13 17:54:56,English,Positive,0.8339,POSITIVE,"helpful customer support, quick refund, good service",0.4003092646598816,Good Support,low,101,zero-shot-bart-large-mnli
well transportation,5,2026-08-13 11:51:06,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5442371964454651,Driver Service,medium,19,zero-shot-bart-large-mnli
"helfpul,kindness will have to all pickme drivers",5,2026-08-12 18:23:55,English,Positive,0.9963,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7223057150840759,Driver Service,high,48,zero-shot-bart-large-mnli
this app very helpful,4,2026-08-12 09:44:07,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6287182569503784,App Experience,medium,21,zero-shot-bart-large-mnli
"super, i always used my traveling partner 🥰",5,2026-08-11 22:16:35,English,Positive,0.995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.38208550214767456,Driver Service,low,43,zero-shot-bart-large-mnli
"Good,not bad but therenne are some lag spikes but no problem",4,2026-08-11 14:46:47,English,Positive,0.9093,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5434271097183228,Driver Service,medium,60,zero-shot-bart-large-mnli
It is very good,5,2026-08-11 11:47:32,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.343940794467926,App Experience,low,15,zero-shot-bart-large-mnli
Best pick app♥️,5,2026-08-11 11:21:55,English,Positive,0.997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4206981658935547,App Experience,low,15,zero-shot-bart-large-mnli
it's a user-friendly app however it may required timely information gets updated automatically. The app gets updated without delay,5,2026-08-09 08:34:52,English,Positive,0.9859,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8481177687644958,App Experience,high,130,zero-shot-bart-large-mnli
"I feel safe, and the service is fast.💙",5,2026-08-08 13:24:08,English,Positive,0.9982,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4151376485824585,Driver Service,low,38,zero-shot-bart-large-mnli
help to easy travel,5,2026-08-07 15:54:34,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4153047204017639,Driver Service,low,19,zero-shot-bart-large-mnli
it's good service,5,2026-08-05 17:12:33,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4374452829360962,Driver Service,low,17,zero-shot-bart-large-mnli
good most of the times driver says no change,3,2026-08-05 12:55:30,English,Positive,0.9994,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.690496563911438,Driver Service,high,44,zero-shot-bart-large-mnli
Very comfortable,5,2026-08-03 19:46:39,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4695785939693451,App Experience,medium,16,zero-shot-bart-large-mnli
excellent very good appl,5,2026-08-01 21:05:36,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.39251968264579773,App Experience,low,24,zero-shot-bart-large-mnli
